10/0816:30 ,Difaa El Jadidi           ,2 ,2 ,Maghreb Fes               ,4
10/0814:15 ,Mouloudia Oujda           ,3 ,4 ,Jeunesse Sportive Soualem ,7
10/0714:00 ,Union Touarga             ,1 ,0 ,Chabab Mohammedia         ,1
10/0216:30 ,Hassania Agadir           ,1 ,1 ,Mouloudia Oujda           ,2
10/0216:30 ,Wydad Casablanca          ,2 ,0 ,Berkane                   ,2
10/0214:15 ,Moghreb Tetouan           ,1 ,1 ,Union Touarga             ,2
10/0212:00 ,FUS Rabat                 ,0 ,0 ,Maghreb Fes               ,0
10/0116:30 ,Jeunesse Sportive Soualem ,0 ,0 ,Olympique Khouribga       ,0
10/0114:15 ,Olympique de Safi         ,1 ,0 ,IR Tanger                 ,1
09/3016:30 ,Chabab Mohammedia         ,0 ,0 ,Raja Casablanca           ,0
09/3012:00 ,FAR Rabat                 ,4 ,1 ,Difaa El Jadidi           ,5
09/1815:15 ,Olympique Khouribga       ,1 ,2 ,Wydad Casablanca          ,3
09/1814:00 ,Berkane                   ,1 ,2 ,Olympique de Safi         ,3
09/1813:00 ,Raja Casablanca           ,1 ,1 ,Moghreb Tetouan           ,2
09/1717:30 ,Mouloudia Oujda           ,0 ,0 ,FUS Rabat                 ,0
09/1715:15 ,IR Tanger                 ,0 ,2 ,Hassania Agadir           ,2
09/1713:00 ,Maghreb Fes               ,0 ,1 ,Jeunesse Sportive Soualem ,1
09/1616:30 ,Difaa El Jadidi           ,1 ,0 ,Chabab Mohammedia         ,1
09/1414:00 ,Union Touarga             ,0 ,1 ,FAR Rabat                 ,1
09/1115:15 ,Olympique de Safi         ,2 ,1 ,Maghreb Fes               ,3
09/1113:00 ,Hassania Agadir           ,0 ,0 ,Olympique Khouribga       ,0
09/0914:00 ,Union Touarga             ,1 ,0 ,Raja Casablanca           ,1
09/0912:00 ,Moghreb Tetouan           ,1 ,0 ,IR Tanger                 ,1
09/0816:30 ,Jeunesse Sportive Soualem ,0 ,1 ,FUS Rabat                 ,1
09/0814:00 ,Chabab Mohammedia         ,1 ,0 ,Mouloudia Oujda           ,1
09/0516:30 ,FAR Rabat                 ,1 ,1 ,Berkane                   ,2
09/0514:00 ,Wydad Casablanca          ,3 ,1 ,Difaa El Jadidi           ,4
09/0416:30 ,Raja Casablanca           ,2 ,2 ,Olympique de Safi         ,4
09/0414:00 ,Olympique Khouribga       ,0 ,1 ,Chabab Mohammedia         ,1
09/0316:30 ,Maghreb Fes               ,0 ,0 ,Moghreb Tetouan           ,0
09/0314:00 ,IR Tanger                 ,0 ,1 ,Jeunesse Sportive Soualem ,1
09/0217:30 ,Difaa El Jadidi           ,1 ,0 ,Union Touarga             ,1
09/0215:15 ,Mouloudia Oujda           ,0 ,1 ,FAR Rabat                 ,1
09/0213:00 ,FUS Rabat                 ,1 ,1 ,Wydad Casablanca          ,2
09/0116:30 ,Berkane                   ,0 ,1 ,Hassania Agadir           ,1
07/0514:00 ,Hassania Agadir           ,0 ,0 ,IR Tanger                 ,0
07/0414:00 ,Wydad Casablanca          ,1 ,2 ,FUS Rabat                 ,3
07/0414:00 ,Olympique de Safi         ,0 ,0 ,Jeunesse Sportive Soualem ,0
07/0414:00 ,Youssoufia Berrechid      ,0 ,4 ,Berkane                   ,4
07/0314:00 ,Rapi de Oued Zem          ,0 ,1 ,Difaa El Jadidi           ,1
07/0314:00 ,Chabab Mohammedia         ,0 ,3 ,Mouloudia Oujda           ,3
07/0214:00 ,Maghreb Fes               ,0 ,0 ,Raja Casablanca           ,0
07/0214:00 ,FAR Rabat                 ,1 ,0 ,Olympique Khouribga       ,1
06/2916:30 ,Berkane                   ,3 ,1 ,Chabab Mohammedia         ,4
06/2916:30 ,Olympique Khouribga       ,1 ,4 ,Olympique de Safi         ,5
06/2914:00 ,Raja Casablanca           ,2 ,1 ,FAR Rabat                 ,3
06/2914:00 ,Mouloudia Oujda           ,2 ,2 ,Wydad Casablanca          ,4
06/2914:00 ,Jeunesse Sportive Soualem ,2 ,3 ,Hassania Agadir           ,5
06/2914:00 ,IR Tanger                 ,1 ,1 ,Maghreb Fes               ,2
06/2914:00 ,FUS Rabat                 ,0 ,2 ,Rapi de Oued Zem          ,2
06/2914:00 ,Difaa El Jadidi           ,1 ,0 ,Youssoufia Berrechid      ,1
