23.1001:00,Fukushima United,1,1,Kagoshima United,2
23.1001:00,Vanraure,2,1,Kataller Toyama,3
23.1001:00,Iwaki,2,1,Ehime,3
23.1001:00,Imabari,1,2,Yamaga,3
22.1001:00,Fujieda MYFC,1,1,Tegevajaro Miyazaki,2
16.1002:00,Nagano,3,1,Sagamihara,4
16.1002:00,Ehime,1,1,Giravanz Kitakyushu,2
16.1001:05,Kagoshima United,1,2,Tegevajaro Miyazaki,3
16.1001:00,Fukushima United,0,2,Kamatamare Sanuki,2
16.1001:00,Gainare Tottori,0,1,Vanraure,1
16.1001:00,Kataller Toyama,1,4,Fujieda MYFC,5
16.1001:00,Azul Claro Numazu,0,4,Iwaki,4
15.1002:00,Yamaga,2,1,Gifu,3
15.1001:00,YSCC,2,1,Imabari,3
09.1002:00,Gifu,1,3,Kataller Toyama,4
09.1002:00,Giravanz Kitakyushu,2,1,Vanraure,3
09.1002:00,Kamatamare Sanuki,0,0,Azul Claro Numazu,0
09.1001:00,Fujieda MYFC,1,0,Yamaga,1
09.1001:00,Gainare Tottori,1,3,Iwaki,4
09.1001:00,Tegevajaro Miyazaki,4,1,Fukushima United,5
08.1007:00,Ehime,2,2,Nagano,4
08.1002:00,Sagamihara,0,2,Imabari,2
08.1001:00,YSCC,0,1,Kagoshima United,1
02.1002:00,Kataller Toyama,1,0,Sagamihara,1
02.1002:00,Giravanz Kitakyushu,4,0,Tegevajaro Miyazaki,4
02.1002:00,Gifu,1,1,Fukushima United,2
02.1001:00,Vanraure,1,0,Ehime,1
02.1001:00,Azul Claro Numazu,0,0,Yamaga,0
02.1001:00,Iwaki,4,1,Kamatamare Sanuki,5
02.1001:00,Imabari,3,0,Gainare Tottori,3
01.1007:00,Kagoshima United,4,1,Nagano,5
01.1002:00,Fujieda MYFC,4,1,YSCC,5
25.0906:00,Nagano,2,1,Azul Claro Numazu,3
25.0903:00,Fukushima United,2,1,Giravanz Kitakyushu,3
25.0903:00,Yamaga,0,1,YSCC,1
25.0902:00,Sagamihara,0,2,Vanraure,2
25.0902:00,Kamatamare Sanuki,0,4,Kataller Toyama,4
25.0902:00,Tegevajaro Miyazaki,2,3,Imabari,5
25.0901:00,Iwaki,2,1,Gifu,3
